Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
369,Cameron Payne,PG,29,TOT,49,3,15.5,2.3,5,0.451,1.1,2.9,0.392,1.1,2.1,0.534,0.565,0.8,1,0.83,0.2,1.2,1.3,2.5,0.5,0.1,0.7,1.6,6.5
369,Cameron Payne,PG,29,MIL,47,2,14.9,2.1,4.7,0.455,1.1,2.8,0.397,1,1.9,0.538,0.572,0.8,0.9,0.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6,6.2
369,Cameron Payne,PG,29,PHI,2,1,28.5,5,12,0.417,2,6,0.333,3,6,0.5,0.5,1,1.5,0.667,1.5,0.5,2,6,1,0.5,1.5,1.5,13
370,Gary Payton II,SG,31,GSW,17,0,16.2,2.4,4.9,0.488,0.6,1.9,0.303,1.8,3,0.608,0.548,0.4,0.5,0.667,1.1,2,3.1,0.9,1.1,0.4,0.6,1.8,5.8
371,Drew Peterson,PF,24,BOS,1,0,3,1,1,1,1,1,1,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,1,3
372,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,0.5,0,0,0,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1
372,Filip Petrušev,C,23,PHI,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
372,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0.5,1.5
373,Julian Phillips,SF,20,CHI,29,0,6.6,0.6,1.5,0.409,0.2,0.8,0.217,0.4,0.7,0.619,0.466,0.2,0.4,0.545,0.2,0.4,0.7,0.3,0,0.2,0.2,1,1.6
374,Jalen Pickett,SG,24,DEN,16,0,6.1,0.8,1.8,0.429,0.4,1.3,0.35,0.3,0.5,0.625,0.554,0.1,0.1,1,0.1,0.6,0.7,0.8,0.2,0,0.4,0.5,2.1
375,Scotty Pippen Jr.,PG,23,MEM,7,3,22.3,3.7,7.4,0.5,1.6,2.6,0.611,2.1,4.9,0.441,0.606,2.1,3,0.714,0.9,2.6,3.4,4.3,1.1,0.4,2.1,2.6,11.1
376,Mason Plumlee,C,33,LAC,21,9,18.1,2.4,3.7,0.662,0,0,0,2.4,3.7,0.662,0.662,1.8,2.7,0.667,1.5,4.4,6,1.1,0.3,0.4,0.6,1.5,6.7
377,Brandin Podziemski,SG,20,GSW,44,13,26.2,3.8,8.3,0.456,1.1,3.2,0.355,2.7,5.1,0.52,0.525,0.8,1.2,0.642,1.5,4.3,5.8,3.7,0.9,0.2,1.2,2,9.5
378,Jakob Poeltl,C,28,TOR,42,42,26.8,4.8,7,0.688,0,0,0,4.8,7,0.688,0.688,1.2,2.2,0.538,2.7,5.8,8.5,2.4,0.7,1.5,1.7,3,10.8
379,Aleksej Pokusevski,PF,22,OKC,10,0,6,0.4,1.6,0.25,0.2,1.1,0.182,0.2,0.5,0.4,0.313,0.2,0.4,0.5,0.2,0.8,1,0.5,0.1,0.1,0.3,0.5,1.2
380,Jordan Poole,SG,24,WAS,50,50,29.2,5.7,14.1,0.404,1.9,6.3,0.3,3.8,7.7,0.49,0.472,2.6,3,0.859,0.4,2,2.3,3.7,1,0.3,2.1,3.2,15.8
381,Craig Porter Jr.,PG,23,CLE,32,5,14.7,2.6,5.2,0.509,0.2,0.7,0.333,2.4,4.5,0.535,0.53,1,1.4,0.696,0.5,2,2.5,2.8,0.5,0.4,1,0.9,6.5
382,Jontay Porter,PF,24,TOR,16,5,13.4,1.6,4.3,0.368,0.8,2.3,0.333,0.8,2,0.406,0.456,0.7,0.8,0.917,1.1,2.2,3.3,1.8,0.8,0.7,0.6,1.6,4.6
383,Michael Porter Jr.,SF,25,DEN,52,52,31.5,6.2,13,0.473,2.7,6.8,0.396,3.4,6.2,0.559,0.578,1,1.2,0.781,1.3,5.7,7,1.4,0.4,0.8,1.1,1.9,16
384,Otto Porter Jr.,SF,30,TOR,15,1,11.6,0.9,2.2,0.424,0.5,1.5,0.348,0.4,0.7,0.6,0.545,0.2,0.2,1,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6
385,Bobby Portis,PF,28,MIL,53,1,23.9,5,10.2,0.494,1.2,3,0.381,3.9,7.2,0.541,0.55,1.3,1.7,0.787,1.6,5.3,6.9,1,0.8,0.4,0.9,2.5,12.5
386,Kristaps Porzi??is,C,28,BOS,39,39,29.9,6.8,12.9,0.529,1.8,5.1,0.36,5,7.8,0.637,0.599,4.9,5.8,0.845,1.6,5.4,7,1.9,0.6,1.9,1.7,2.9,20.4
387,Micah Potter,PF,25,UTA,2,0,3.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
388,Dwight Powell,C,32,DAL,46,8,15.6,1.4,2,0.71,0,0,0.5,1.4,2,0.714,0.715,1.3,1.8,0.728,1.8,2.2,3.9,1.6,0.5,0.4,0.6,2.2,4.2
